EP001	EP002	EP003	EP004	EP005	EP006	EP007	EP008	EP009	EP010	EP011	EP012	EP013	EP014	EP015	EP016	EP017	EP018	EP019	EP020	EP021	EP022	EP023	EP024	EP025	EP026	EP027	EP028	EP029	EP030	EP031	EP032	EP033	EP034	EP035	EP036	EP037	EP038	EP039	EP040	EP041	EP042	EP043	EP044	EP045	EP046	EP047	EP048	EP049	EP050	EP051	EP052	EP053	EP054	EP055	EP056	EP057	EP058	EP059	EP060	EP061	EP062	EP063	EP064	EP065	EP066	EP067	EP068	EP069	EP070	EP071	EP072	EP073	EP074	EP075	EP076	EP077	EP078	EP079	EP080	EP081	EP082	EP083	EP084	EP085	EP086	EP087	EP088	EP089	EP090	EP091	EP092	EP093	EP094	EP095	EP096	EP097	EP098	EP099	EP100	EP101	EP102	EP103	EP104
cg01802772	0.05146	0.076	0.06615	0.06523	0.06409	0.44282	0.06569	0.06664	0.39596	0.27993	0.06217	0.06865	0.34109	0.06702	0.35849	0.07174	0.40986	0.33673	0.07233	0.07383	0.06383	0.06653	0.07072	0.20664	0.06161	0.07647	0.0727	0.6152	0.06555	0.38694	0.70203	0.07242	0.40189	0.38027	0.42783	0.37841	0.06566	0.41754	0.41102	0.06763	0.06599	0.62501	0.06189	0.0604	0.39931	0.36747	0.07293	0.56316	0.07013	0.6372	0.66203	0.08129	0.43514	0.21694	0.07956	0.68903	0.33155	0.07461	0.0634	0.36959	0.54776	0.0708	0.06163	0.06678	0.06168	0.07476	0.40018	0.06744	0.39472	0.08313	0.64706	0.38989	0.06872	0.35586	0.36433	0.06892	0.06967	0.35768	0.32464	0.3407	0.37855	0.41524	0.38689	0.07253	0.26882	0.36811	0.43387	0.07092	0.45369	0.56415	0.05943	0.65369	0.06902	0.44755	0.06664	0.07322	0.07504	0.07224	0.3481	0.38998	0.36154	0.64627	0.07309	0.07538
cg18137779	0.8349	0.76066	0.76152	0.73127	0.77103	0.71879	0.12823	0.76418	0.68057	0.66297	0.59699	0.7803	0.70772	0.52185	0.7704	0.37728	0.76175	0.65341	0.40665	0.78993	0.72823	0.48064	0.77135	0.80663	0.72777	0.39906	0.14522	0.80609	0.77396	0.81077	0.73207	0.75655	0.75916	0.41848	0.77992	0.72954	0.4869	0.43029	0.45788	0.4976	0.73972	0.78659	0.45681	0.47203	0.45464	0.13093	0.77329	0.5257	0.75995	0.80015	0.12362	0.38462	0.71885	0.40722	0.78	0.76352	0.3911	0.78913	0.3475	0.76427	0.80149	0.65014	0.78322	0.38245	0.78322	0.57205	0.15723	0.77646	0.39667	0.3883	0.74501	0.37224	0.74514	0.73559	0.3944	0.7627	0.81723	0.08701	0.75768	0.36362	0.73	0.77525	0.74983	0.4135	0.40592	0.72215	0.68323	0.80335	0.78459	0.61556	0.77819	0.76641	0.79031	0.75501	0.55641	0.75058	0.14384	0.73762	0.44088	0.1354	0.74644	0.7742	0.77339	0.82903
cg26615127	0.27063	0.62821	0.63816	0.46148	0.47783	0.61866	0.48865	0.71608	0.14659	0.49704	0.74982	0.59527	0.24249	0.56968	0.28885	0.60198	0.63563	0.11621	0.68806	0.66224	0.48681	0.4988	0.48699	0.17817	0.56401	0.26911	0.49517	0.64037	0.15937	0.57755	0.62624	0.62204	0.57857	0.24698	0.20257	0.44518	0.34352	0.11158	0.71117	0.12335	0.2049	0.47718	0.38706	0.28583	0.15789	0.2779	0.60681	0.17036	0.19801	0.38012	0.14718	0.22569	0.48704	0.32789	0.47584	0.39204	0.34791	0.15909	0.5879	0.52945	0.44123	0.24384	0.57725	0.51255	0.56112	0.62366	0.62173	0.43002	0.67346	0.27741	0.26405	0.68042	0.40369	0.10765	0.3561	0.15528	0.19772	0.65159	0.32597	0.61889	0.20719	0.60776	0.55237	0.21944	0.19107	0.11671	0.4233	0.21655	0.73942	0.56033	0.14618	0.43807	0.52953	0.1368	0.44667	0.13545	0.46033	0.51982	0.14835	0.61565	0.16968	0.64402	0.1371	0.15498
cg02664812	0.12952	0.25108	0.57431	0.545	0.08497	0.50996	0.55891	0.41331	0.26669	0.11755	0.10399	0.06906	0.09739	0.45064	0.29185	0.40088	0.09496	0.41069	0.08477	0.06988	0.08561	0.07735	0.53634	0.08306	0.10443	0.61033	0.07674	0.45849	0.50419	0.40476	0.07928	0.2078	0.09624	0.22553	0.08785	0.57894	0.63973	0.17709	0.54987	0.33529	0.53744	0.60905	0.08732	0.41691	0.26373	0.44823	0.46259	0.10025	0.53455	0.59975	0.09358	0.50414	0.59386	0.33156	0.59685	0.0778	0.10067	0.46376	0.38259	0.48954	0.39653	0.19545	0.08436	0.1117	0.08406	0.07864	0.22889	0.47567	0.33572	0.18388	0.28179	0.19726	0.11222	0.10872	0.22939	0.51323	0.14699	0.09597	0.52872	0.41017	0.20078	0.5403	0.16414	0.44338	0.08541	0.48943	0.4455	0.09298	0.07452	0.07195	0.07464	0.15281	0.1	0.16707	0.5277	0.42854	0.07378	0.08904	0.07476	0.58846	0.08764	0.5094	0.08499	0.09539
cg24720717	0.17908	0.58884	0.64391	0.48659	0.23069	0.54795	0.05903	0.64205	0.62989	0.41616	0.43019	0.6451	0.47022	0.06186	0.34509	0.37157	0.57978	0.27571	0.56164	0.6005	0.22103	0.45657	0.50044	0.07104	0.34509	0.08819	0.0511	0.43745	0.06049	0.08508	0.63322	0.54761	0.51881	0.06047	0.21685	0.06736	0.05623	0.22976	0.52109	0.05667	0.05972	0.24844	0.06272	0.41602	0.33812	0.06746	0.38216	0.50072	0.22916	0.55412	0.05756	0.21199	0.35339	0.43086	0.309	0.06161	0.34196	0.05189	0.5993	0.47652	0.54693	0.37904	0.07474	0.14077	0.51445	0.05367	0.59905	0.34141	0.47077	0.22033	0.63451	0.61739	0.05355	0.05889	0.37165	0.21683	0.3512	0.15265	0.10299	0.4577	0.12173	0.58094	0.186	0.49462	0.12834	0.06393	0.51971	0.12379	0.62162	0.53049	0.05827	0.06734	0.62347	0.07365	0.63575	0.05034	0.14226	0.61645	0.40191	0.51682	0.29386	0.56028	0.04957	0.13586
cg14419975	0.37082	0.30921	0.09482	0.41657	0.11564	0.58445	0.59305	0.29565	0.70911	0.13055	0.57987	0.08386	0.10531	0.49288	0.48799	0.0992	0.09369	0.11533	0.5212	0.72865	0.1545	0.10251	0.46964	0.11047	0.57106	0.61109	0.16971	0.09362	0.205	0.58393	0.52231	0.51013	0.11204	0.5761	0.47111	0.52727	0.23001	0.59357	0.40015	0.18304	0.22023	0.54435	0.47996	0.09974	0.26241	0.57664	0.1401	0.14333	0.09147	0.09809	0.29973	0.37978	0.15624	0.36658	0.14386	0.59212	0.16592	0.42256	0.6118	0.55807	0.10314	0.38806	0.50867	0.12375	0.1016	0.11945	0.35726	0.46993	0.55925	0.62574	0.39438	0.49743	0.1644	0.44002	0.40519	0.15664	0.50318	0.7444	0.28126	0.59132	0.2611	0.1161	0.0978	0.15337	0.2338	0.48455	0.45293	0.1021	0.08965	0.12717	0.26875	0.5724	0.18503	0.41387	0.59954	0.45957	0.26348	0.64813	0.56278	0.37774	0.37335	0.10321	0.57929	0.36877
cg22505202	0.73683	0.49514	0.42717	0.80172	0.77845	0.44133	0.45588	0.43837	0.78852	0.74228	0.83496	0.42963	0.43194	0.48094	0.45358	0.51474	0.8026	0.46123	0.10046	0.80819	0.07895	0.81075	0.47744	0.78715	0.78019	0.81523	0.80354	0.80318	0.45167	0.7538	0.82766	0.45026	0.44639	0.79032	0.44752	0.08961	0.09459	0.78694	0.44506	0.71786	0.45246	0.80427	0.0876	0.79454	0.09485	0.44777	0.7819	0.09993	0.4364	0.45002	0.45398	0.45207	0.81254	0.81487	0.78484	0.4318	0.81022	0.8191	0.08599	0.09516	0.41811	0.82924	0.43398	0.81238	0.41856	0.82291	0.79387	0.43738	0.4571	0.13536	0.78873	0.77241	0.44537	0.76609	0.08639	0.76476	0.45242	0.41267	0.43541	0.39996	0.46681	0.45994	0.77476	0.79813	0.43548	0.77754	0.47022	0.77138	0.82425	0.75646	0.73296	0.78316	0.78846	0.71931	0.43499	0.4453	0.45912	0.42081	0.76869	0.76812	0.77348	0.43151	0.44162	0.456
cg16007456	0.26641	0.5251	0.55786	0.07281	0.04206	0.5332	0.25523	0.47935	0.35455	0.11315	0.62861	0.31426	0.31456	0.58741	0.41401	0.09711	0.08968	0.05379	0.6353	0.54833	0.37412	0.20376	0.52973	0.10883	0.50632	0.05805	0.32399	0.0694	0.25905	0.33417	0.63747	0.56691	0.46851	0.2979	0.07248	0.3134	0.28602	0.05968	0.06773	0.04774	0.14763	0.49081	0.13426	0.08075	0.26873	0.06339	0.05261	0.09267	0.04734	0.49727	0.16727	0.50854	0.05857	0.08229	0.32189	0.26237	0.11445	0.2365	0.13109	0.51893	0.12534	0.34665	0.56077	0.13235	0.51262	0.04447	0.56539	0.47952	0.16652	0.06886	0.05588	0.47465	0.0462	0.55154	0.36711	0.09119	0.40402	0.54058	0.04872	0.4085	0.13114	0.14551	0.5086	0.3875	0.12424	0.49513	0.5761	0.52047	0.1653	0.21325	0.04385	0.23321	0.52391	0.35564	0.04947	0.13255	0.06986	0.06821	0.33637	0.05171	0.40808	0.05618	0.5135	0.05544
cg00501169	0.8009	0.31252	0.80331	0.80129	0.79186	0.77493	0.76719	0.74601	0.32082	0.7844	0.32125	0.28153	0.7943	0.76797	0.32398	0.74603	0.79723	0.79489	0.77505	0.78734	0.79546	0.77974	0.81175	0.77776	0.79379	0.80673	0.78563	0.76722	0.80186	0.32098	0.68729	0.80503	0.79723	0.8026	0.81706	0.79523	0.82015	0.79626	0.81872	0.77737	0.34145	0.30705	0.80876	0.8042	0.75943	0.78966	0.30238	0.3209	0.79854	0.75639	0.27137	0.77602	0.796	0.78362	0.307	0.79233	0.80628	0.81971	0.79266	0.8084	0.80349	0.37773	0.79365	0.79012	0.80316	0.78808	0.78917	0.37984	0.33778	0.51861	0.78908	0.33149	0.35054	0.82635	0.79505	0.79715	0.79245	0.79403	0.81009	0.78513	0.36393	0.80593	0.31916	0.80656	0.27539	0.7858	0.81186	0.79164	0.79874	0.28582	0.32773	0.80322	0.78779	0.74801	0.75903	0.78799	0.78565	0.7705	0.28812	0.78789	0.81552	0.803	0.80528	0.80451
cg01778345	0.82865	0.60895	0.1173	0.86644	0.53543	0.58517	0.09757	0.86497	0.52005	0.84535	0.1599	0.85399	0.5095	0.86283	0.86346	0.4751	0.80687	0.83568	0.14266	0.0972	0.52904	0.85397	0.58495	0.09579	0.53787	0.85831	0.86257	0.50715	0.54698	0.48057	0.50853	0.43348	0.53009	0.52435	0.85813	0.86406	0.8331	0.84827	0.87254	0.88187	0.53689	0.86194	0.11639	0.5138	0.53731	0.85315	0.52649	0.81787	0.55884	0.85542	0.87042	0.57127	0.55447	0.09846	0.54073	0.0963	0.5038	0.86686	0.47197	0.08939	0.8283	0.60277	0.85675	0.52241	0.52184	0.14455	0.53607	0.53944	0.88365	0.56314	0.50304	0.51174	0.85388	0.55601	0.86606	0.54335	0.80256	0.47487	0.73192	0.44116	0.86142	0.59289	0.55803	0.12479	0.52148	0.12403	0.62264	0.54912	0.54739	0.86704	0.84978	0.55582	0.5352	0.57423	0.55684	0.53691	0.56547	0.81614	0.86806	0.5341	0.53616	0.82112	0.56344	0.83426
cg11400774	0.3761	0.61224	0.10588	0.49502	0.21067	0.44616	0.17476	0.09439	0.30315	0.10129	0.70824	0.12611	0.25545	0.68541	0.57459	0.53238	0.18085	0.10433	0.66032	0.08335	0.09579	0.155	0.49337	0.07832	0.14978	0.2491	0.17996	0.25044	0.59235	0.55548	0.62619	0.60666	0.08644	0.11081	0.15252	0.27576	0.67195	0.15403	0.64815	0.22721	0.16562	0.62677	0.19964	0.20903	0.69064	0.08306	0.089	0.22047	0.35157	0.6029	0.21656	0.47257	0.42614	0.17566	0.10703	0.21169	0.11548	0.40322	0.59858	0.55559	0.08455	0.62211	0.12018	0.14699	0.09187	0.09665	0.57118	0.10897	0.07741	0.11831	0.2605	0.12826	0.08837	0.10533	0.10213	0.10214	0.18264	0.08949	0.57928	0.51227	0.57479	0.26887	0.09091	0.53003	0.42231	0.58968	0.67277	0.17127	0.09111	0.12544	0.16953	0.61406	0.65078	0.09714	0.08884	0.15674	0.67656	0.45709	0.09855	0.30387	0.2285	0.20981	0.48897	0.13056
cg18276016	0.45647	0.66518	0.61699	0.25781	0.45691	0.51746	0.60702	0.57227	0.08489	0.38224	0.24777	0.64388	0.50422	0.26952	0.40732	0.46328	0.12326	0.0827	0.54351	0.6287	0.48674	0.1463	0.53076	0.46141	0.42466	0.09788	0.4339	0.42086	0.59533	0.58398	0.55889	0.55588	0.10923	0.42397	0.21584	0.29611	0.07328	0.44469	0.47627	0.08635	0.13288	0.58187	0.49295	0.60122	0.56666	0.54492	0.1607	0.17062	0.09543	0.631	0.09104	0.37377	0.08573	0.09342	0.11329	0.08772	0.53287	0.09816	0.60402	0.44558	0.18219	0.14425	0.50767	0.44692	0.45636	0.13823	0.41996	0.32245	0.62016	0.09164	0.60743	0.61561	0.4464	0.42217	0.4587	0.33425	0.11812	0.51212	0.09528	0.54426	0.46343	0.17454	0.08367	0.12334	0.21525	0.26129	0.59086	0.1139	0.71218	0.23119	0.14284	0.09219	0.0865	0.19432	0.47194	0.09076	0.09327	0.45879	0.5068	0.44511	0.40197	0.50082	0.56123	0.5291
cg24674445	0.39634	0.64257	0.592	0.30907	0.46325	0.52715	0.58745	0.56185	0.07511	0.40511	0.24511	0.61615	0.51291	0.28303	0.4129	0.4851	0.10268	0.07807	0.5027	0.60601	0.50299	0.14774	0.51716	0.48365	0.43221	0.07441	0.45733	0.4547	0.60054	0.58662	0.55562	0.49542	0.0999	0.44404	0.21018	0.31342	0.07054	0.47836	0.49455	0.08311	0.13425	0.56681	0.50088	0.61104	0.53098	0.53759	0.16653	0.19693	0.07734	0.62808	0.07272	0.3981	0.08213	0.08506	0.1114	0.07869	0.53125	0.08434	0.58575	0.45907	0.17559	0.1237	0.52247	0.45465	0.44809	0.11739	0.4488	0.29638	0.61829	0.09545	0.60604	0.58445	0.47234	0.4406	0.45224	0.37466	0.12815	0.51387	0.07873	0.55131	0.4675	0.2176	0.07821	0.10558	0.21603	0.23665	0.57872	0.10248	0.68192	0.23804	0.14432	0.08354	0.08925	0.22473	0.48274	0.09639	0.07627	0.46425	0.50766	0.46227	0.41324	0.48412	0.53955	0.53644
cg12062819	0.27056	0.09672	0.64092	0.07319	0.542	0.60648	0.15014	0.57821	0.65961	0.51038	0.09487	0.54253	0.43054	0.29872	0.4067	0.51161	0.61491	0.42632	0.58074	0.47955	0.51667	0.25539	0.52662	0.56749	0.1436	0.51423	0.52035	0.27797	0.33288	0.59278	0.67221	0.55042	0.431	0.55078	0.4073	0.48491	0.30838	0.32013	0.66231	0.07273	0.07664	0.55596	0.05458	0.43052	0.14816	0.37662	0.69605	0.35839	0.06245	0.36437	0.05726	0.16612	0.08299	0.18253	0.55922	0.161	0.13419	0.07961	0.63471	0.2797	0.5704	0.11395	0.57214	0.1497	0.06435	0.06714	0.62215	0.50282	0.54462	0.11814	0.11114	0.65026	0.05886	0.52372	0.39036	0.29693	0.38768	0.60551	0.06618	0.61272	0.10537	0.06943	0.60526	0.0941	0.1182	0.17134	0.12318	0.54053	0.56251	0.39595	0.06092	0.35753	0.61937	0.10378	0.34231	0.37177	0.10477	0.46908	0.4658	0.50308	0.22772	0.34765	0.0588	0.06887
cg24586205	0.1993	0.21209	0.15025	0.58073	0.15827	0.48125	0.15514	0.13569	0.33073	0.53374	0.74996	0.77579	0.54405	0.72336	0.53519	0.12311	0.15804	0.17253	0.5039	0.13681	0.55775	0.14637	0.18468	0.16537	0.1481	0.14996	0.14863	0.52013	0.56438	0.53885	0.54257	0.5328	0.56769	0.51457	0.13935	0.47505	0.54456	0.39161	0.16985	0.54536	0.55474	0.52647	0.54595	0.12957	0.7238	0.56997	0.14554	0.15619	0.12881	0.12664	0.15187	0.54241	0.75499	0.47122	0.46917	0.12701	0.1361	0.75055	0.5314	0.12021	0.10979	0.72931	0.54477	0.53346	0.1425	0.15427	0.16153	0.56833	0.57087	0.18286	0.77039	0.13326	0.16036	0.57206	0.51742	0.56142	0.17861	0.10865	0.44806	0.4945	0.58277	0.5766	0.46054	0.43406	0.14197	0.16225	0.16997	0.57436	0.44205	0.1845	0.17484	0.1472	0.13863	0.16533	0.44086	0.13953	0.58188	0.12525	0.17243	0.74531	0.15156	0.53751	0.16199	0.78433
